Revisi:,,,,,,,,,,,
Atribut:,,,,,,,,,,,
Alamat,Variabel,Ket. Lojik nol,Ket. Lojik Satu,Arsip,Arsip Aktif,Alarm,Alarm Aktif,Kelompok,Stasiun,,
998,YK-W11A-RRE-DO,,,,,,,,YK,31,5
999,YK-W21A-BE-DO,,,,,,,,YK,31,6
1000,YK-W21A-LE-DO,,,,,,,,YK,31,7
1001,YK-W21A-NWE-DO,,,,,,,,YK,31,8
1002,YK-W21A-NWTE-DO,,,,,,,,YK,31,9
1003,YK-W21A-NTE-DO,,,,,,,,YK,31,10
1004,YK-W21A-NRE-DO,,,,,,,,YK,31,11
1005,YK-W21A-RWE-DO,,,,,,,,YK,31,12
1006,YK-W21A-RWTE-DO,,,,,,,,YK,31,13
1007,YK-W21A-RTE-DO,,,,,,,,YK,31,14
1008,YK-W21A-RRE-DO,,,,,,,,YK,31,15
1009,YK-W11B-BE-DO,,,,,,,,YK,32,0
1010,YK-W11B-LE-DO,,,,,,,,YK,32,1
1011,YK-W11B-NWE-DO,,,,,,,,YK,32,2
1012,YK-W11B-NWTE-DO,,,,,,,,YK,32,3
1013,YK-W11B-NTE-DO,,,,,,,,YK,32,4
1014,YK-W11B-NRE-DO,,,,,,,,YK,32,5
1015,YK-W11B-RWE-DO,,,,,,,,YK,32,6
1016,YK-W11B-RWTE-DO,,,,,,,,YK,32,7
1017,YK-W11B-RTE-DO,,,,,,,,YK,32,8
1018,YK-W11B-RRE-DO,,,,,,,,YK,32,9
1019,YK-W11C-BE-DO,,,,,,,,YK,32,10
1020,YK-W11C-LE-DO,,,,,,,,YK,32,11
1021,YK-W11C-NWE-DO,,,,,,,,YK,32,12
1022,YK-W11C-NWTE-DO,,,,,,,,YK,32,13
1023,YK-W11C-NTE-DO,,,,,,,,YK,32,14
1024,YK-W11C-NRE-DO,,,,,,,,YK,32,15
1025,YK-W11C-RWE-DO,,,,,,,,YK,33,0
1026,YK-W11C-RWTE-DO,,,,,,,,YK,33,1
1027,YK-W11C-RTE-DO,,,,,,,,YK,33,2
1028,YK-W11C-RRE-DO,,,,,,,,YK,33,3
1029,YK-W21B-BE-DO,,,,,,,,YK,33,4
1030,YK-W21B-LE-DO,,,,,,,,YK,33,5
1031,YK-W21B-NWE-DO,,,,,,,,YK,33,6
1032,YK-W21B-NWTE-DO,,,,,,,,YK,33,7
1033,YK-W21B-NTE-DO,,,,,,,,YK,33,8
1034,YK-W21B-NRE-DO,,,,,,,,YK,33,9
1035,YK-W21B-RWE-DO,,,,,,,,YK,33,10
1036,YK-W21B-RWTE-DO,,,,,,,,YK,33,11
1037,YK-W21B-RTE-DO,,,,,,,,YK,33,12
1038,YK-W21B-RRE-DO,,,,,,,,YK,33,13
1039,YK-W11D-BE-DO,,,,,,,,YK,33,14
1040,YK-W11D-LE-DO,,,,,,,,YK,33,15
1041,YK-W11D-NWE-DO,,,,,,,,YK,34,0
1042,YK-W11D-NWTE-DO,,,,,,,,YK,34,1
1043,YK-W11D-NTE-DO,,,,,,,,YK,34,2
1044,YK-W11D-NRE-DO,,,,,,,,YK,34,3
1045,YK-W11D-RWE-DO,,,,,,,,YK,34,4
1046,YK-W11D-RWTE-DO,,,,,,,,YK,34,5
1047,YK-W11D-RTE-DO,,,,,,,,YK,34,6
1048,YK-W11D-RRE-DO,,,,,,,,YK,34,7
1049,YK-W31-BE-DO,,,,,,,,YK,34,8
1050,YK-W31-LE-DO,,,,,,,,YK,34,9
1051,YK-W31-NWE-DO,,,,,,,,YK,34,10
1052,YK-W31-NWTE-DO,,,,,,,,YK,34,11
1053,YK-W31-NTE-DO,,,,,,,,YK,34,12
1054,YK-W31-NRE-DO,,,,,,,,YK,34,13
1055,YK-W31-RWE-DO,,,,,,,,YK,34,14
1056,YK-W31-RWTE-DO,,,,,,,,YK,34,15
1057,YK-W31-RTE-DO,,,,,,,,YK,35,0
1058,YK-W31-RRE-DO,,,,,,,,YK,35,1
1059,YK-W11E-BE-DO,,,,,,,,YK,35,2
1060,YK-W11E-LE-DO,,,,,,,,YK,35,3
1061,YK-W11E-NWE-DO,,,,,,,,YK,35,4
1062,YK-W11E-NWTE-DO,,,,,,,,YK,35,5
1063,YK-W11E-NTE-DO,,,,,,,,YK,35,6
1064,YK-W11E-NRE-DO,,,,,,,,YK,35,7
1065,YK-W11E-RWE-DO,,,,,,,,YK,35,8
